Player,Team,Camera shake,FOV,Height,Angle,Distance,Stiffness,Swivel speed,Transition speed,Ball camera,Last updated
Decxp,SU,No,110,90,-3.0,270,0.40,5.40,1.10,Toggle,2023-10-20
Deevo,,No,109,90,-4.0,270,0.45,8.00,1.50,Toggle,2023-03-13
dvo,,No,110,100,-3.0,270,0.35,4.00,1.00,Toggle,2025-05-18
defzzy,,No,110,90,-4.0,260,0.45,5.10,1.50,Toggle,2021-07-02
Del1very.,MCB,No,110,100,-3.0,270,0.35,7.20,1.40,Toggle,2023-08-28
delta,BOLI,No,110,110,-3.0,270,0.45,4.10,1.00,Toggle,2022-10-21
Demo,,No,110,100,-4.0,270,0.40,4.20,1.80,Toggle,2021-07-15
Demonator,UCF,No,110,90,-4.0,250,0.55,7.00,1.30,Toggle,2021-05-09
deprvty,,No,110,100,-4.0,270,0.70,7.00,1.60,Toggle,2021-07-13
devan,GMU,No,110,100,-4.0,260,0.60,5.50,1.00,Toggle,2023-03-28
Dezu,,No,110,90,-4.0,270,0.40,6,1.40,Toggle,2021-06-11
diaz,SHM,No,110,90,-5.0,270,0.35,5.50,1.40,Toggle,2025-06-25
diaz,,No,110,100,-3.0,270,0.35,4.70,1.20,Toggle,2025-06-28
Didris,,No,110,100,-3.0,270,0.45,5.00,1.00,Toggle,2021-05-09
Dino,,No,110,100,-5.0,270,0.40,5.00,1.00,Toggle,2021-03-19
dixa,CLDA,No,110,90,-3.0,240,0.45,5.50,1.40,Toggle,2025-07-27
DmentZa,,No,110,90,-4.0,270,0.40,4.50,1.30,Toggle,2021-03-29
dno.,AFW,No,110,100,-5.0,280,0.50,6.00,1.40,Toggle,2024-03-19
Dogu,,No,90,110,-3.0,260,0.30,2.50,1.00,Toggle,2021-05-09
doomayn,TOTS,No,110,100,-4.0,270,0.35,7.20,1.20,Toggle,2021-12-10
Doomsee,,No,105,110,-4.0,270,0.60,10.00,1.10,Toggle,2021-05-09
Dorito,FLR,No,110,100,-4.0,270,0.40,4.50,1.40,Toggle,2024-10-20
DrKnown,QAD,No,110,100,-3.0,270,0.45,5.00,1.50,Toggle,2025-01-11
dralii,FLCN,No,110,90,-6.0,260,0.55,4.20,1.40,Toggle,2025-08-07
Draz,,No,110,80,-6.0,290,0.55,5.00,1.50,Toggle,2025-04-01
dreaz,,No,110,100,-3.0,270,0.40,8.00,1.20,Toggle,2023-04-28
Dripinho,SU,No,110,100,-4,270,0.45,4.00,1.20,Toggle,2023-04-20
Drippay,,No,110,110,-3.0,280,0.50,5.00,1.00,Toggle,2021-05-09
drku.,,No,110,90,-5,270,0.35,4.70,1.80,Toggle,2025-04-22
droppz,CHR,No,109,100,-3.0,270,0.35,6.00,1.80,Toggle,2025-05-30
Druee,,No,110,100,-3.0,270,0.45,4.50,1.30,Toggle,2022-07-23
